cardholder_name,card_number,merchant_name,merchant_category,amount,hour,distance_from_home,is_online,is_foreign,velocity_last_hour,is_fraud
Allison Hill,4961023726432058,"Merchant: Calhoun, Davis and Richmond",grocery,189.9,6,0.63,1,1,1,0
Noah Rhodes,4997245971557937,Merchant: Powell and Sons,online_shopping,14.5,15,1.12,0,0,2,0
Angie Henderson,4770115491773269,Merchant: Cox-Mejia,dining,23.46,16,27.38,1,0,0,0
Daniel Wagner,4968568888610852,"Merchant: Ortiz, Snow and Garner",grocery,30.0,6,5.75,1,0,0,0
Cristian Santos,4358679433644706,Merchant: Barker PLC,grocery,63.56,17,0.42,1,0,1,0
Connie Lawrence,4632767659645875,Merchant: Morris-Wright,electronics,15.67,11,11.43,0,0,4,0
Abigail Shaffer,4694947155347458,Merchant: Robinson-Shea,online_shopping,35.34,13,5.39,0,0,0,0
Gina Moore,4240537729084890,Merchant: Arias LLC,grocery,33.27,14,15.39,0,0,1,0
Gabrielle Davis,4539450375480786,"Merchant: Perry, Oneill and Paul",online_shopping,48.34,13,32.42,0,0,1,0
Ryan Munoz,4538338569329136,Merchant: Trujillo-Walsh,grocery,28.82,9,53.36,1,0,1,0
Monica Herrera,4964804073730419,Merchant: Serrano LLC,dining,102.39,17,26.23,0,0,1,0
Jamie Arnold,4063240510265836,Merchant: Wright-Johnson,grocery,41.38,11,8.38,0,0,0,0
Lisa Hensley,4963346746466030,Merchant: Nguyen-Johnson,electronics,12.94,14,20.91,0,0,1,0
Michele Williams,4273997415920940,"Merchant: James, Cannon and Dougherty",gas_station,66.01,6,29.82,0,0,4,0
Dylan Miller,4010276078195167,Merchant: Sosa and Sons,grocery,38.57,17,1.98,0,0,1,0
Brian Ramirez,4849779738330618,Merchant: Martinez and Sons,dining,16.06,18,28.75,1,0,0,0
Holly Wood,4435754789350526,"Merchant: Jackson, Morris and Johnson",online_shopping,46.66,11,1.96,0,0,0,0
Derek Zuniga,4027068756707186,Merchant: Kennedy-Russell,online_shopping,143.06,1,139.82,1,1,4,1
Lisa Jackson,4292361391237745,"Merchant: Foley, Williams and Smith",grocery,39.62,13,43.33,1,0,1,0
Carla Gray,4998413376870581,"Merchant: Jones, Johnson and Macdonald",dining,40.66,12,1.44,0,0,2,0
Margaret Hawkins DDS,4791065106407073,Merchant: Lucas Group,electronics,850.18,4,173.52,1,0,7,1
Patty Perez,4847848303485735,"Merchant: Espinoza, Bailey and Cunningham",online_shopping,57.12,5,11.67,1,0,1,0
Ethan Adams,4540449272809037,"Merchant: Hoover, Hartman and Foster",dining,52.97,13,2.35,0,0,1,0
Tommy Walter,4788364316785989,Merchant: Williams-Mills,grocery,74.19,12,6.08,0,0,1,0
Matthew Foster,4440889593032077,"Merchant: Brooks, Lowe and Parks",grocery,11.77,11,1.7,0,0,4,0
Judy Baker,4605269901523029,Merchant: Johnson LLC,travel,583.87,11,207.39,1,0,10,1
Justin Baker,4633092356540306,"Merchant: Hensley, Allen and Torres",dining,47.07,15,13.46,0,0,2,0
Stephanie Ross,4991540273201291,Merchant: Wagner and Sons,grocery,76.48,22,17.14,0,1,0,0
Zachary Hicks,4318500423182060,Merchant: Bates-Wheeler,online_shopping,25.76,21,31.54,1,0,0,0
Anthony Rodriguez,4048109305484730,Merchant: Frazier-Powers,dining,32.62,16,0.46,1,0,0,0
Rebecca Henderson,4779739824553816,"Merchant: Thompson, Sanchez and Camacho",grocery,45.45,8,21.6,1,0,0,0
James Ferrell,4182723826429515,Merchant: Blankenship Inc,grocery,32.03,14,2.23,1,0,0,0
Tricia Valencia,4255768815590308,"Merchant: Thomas, Arias and Jones",grocery,72.46,8,23.75,0,0,0,0
Nathan Maldonado,4969544876150481,Merchant: Bird-Nguyen,online_shopping,40.62,10,15.32,1,0,2,0
Debra Davidson,4915089244640354,Merchant: Kaufman-Carter,dining,31.17,5,5.56,0,0,2,0
Jeffrey Chavez,4769555935588109,Merchant: Allen Group,online_shopping,27.0,7,4.21,1,0,2,0
Sherri Baker,4277547777459254,Merchant: Smith-Owens,dining,88.08,16,4.5,0,0,1,0
Cassandra Gaines,4123872493797902,"Merchant: Cox, Schultz and Herrera",online_shopping,56.97,12,11.87,0,0,2,0
Elizabeth Fowler,4704559484967415,Merchant: Thomas-Brown,grocery,31.84,14,37.39,0,0,0,0
Brittany Farmer,4623956712559352,Merchant: Spencer-Kane,dining,10.0,7,20.44,0,0,0,0
Paula Moreno,4276749064122725,Merchant: Alexander-Williams,grocery,41.61,7,12.86,0,0,0,0
Fred Smith,4653145134170054,Merchant: Richardson PLC,dining,12.75,12,2.95,1,0,2,0
Sherry Decker,4558345595562163,Merchant: Sanchez-Montoya,grocery,11.86,13,27.84,0,0,0,0
Anthony Humphrey,4357668089504919,Merchant: Bell-Jones,online_shopping,8.11,8,13.23,0,0,0,0
Angelica Tucker,4860431715578520,"Merchant: Lee, Johnson and Spencer",electronics,14.91,2,7.08,1,0,2,0
Philip Cannon,4979336860931606,Merchant: Wilcox Inc,grocery,34.39,1,10.04,0,0,4,0
John Pierce,4010558391115323,"Merchant: Owens, Taylor and Miles",gas_station,24.64,10,40.69,0,0,2,0
Shane Henderson,4264009333963795,"Merchant: Nunez, Nicholson and Herrera",dining,11.76,17,7.38,0,0,0,0
Joshua Blair,4203887821889380,"Merchant: Mccullough, Christensen and Williams",dining,94.44,11,2.84,0,0,1,0
Eric Carney,4478167663420836,Merchant: Burton Ltd,dining,121.14,11,3.23,1,0,0,0
Jessica Holmes,4812426647426441,Merchant: Little-Fuentes,grocery,8.58,14,11.12,0,0,1,0
Danny Morgan,4478327966379580,Merchant: Phillips-Jimenez,grocery,14.84,9,17.65,0,0,0,0
Crystal Robinson,4877449924687149,Merchant: Miller-Smith,gas_station,44.56,12,1.71,0,0,0,0
Mark Perez,4693995315566427,Merchant: Walter-Mcfarland,online_shopping,15.45,12,15.79,1,0,1,0
Shannon Jones,4940269089649665,"Merchant: Reilly, Martin and Lawson",dining,41.16,10,3.1,0,0,5,0
Michael Lewis,4811822923246878,Merchant: Butler-Gates,online_shopping,85.36,15,4.49,0,0,0,0
Timothy Duncan,4203733784061387,Merchant: Hernandez-Garcia,online_shopping,25.93,14,16.27,1,0,1,0
Richard Aguirre,4748578304559655,"Merchant: Shaw, Graham and Young",electronics,74.7,9,1.08,0,0,4,0
Brent Jordan,4657868005512676,"Merchant: Gill, Schroeder and May",online_shopping,40.57,12,15.66,0,0,0,0
John Daniel,4449436327056146,Merchant: Kelley-Green,online_shopping,29.08,11,0.16,0,0,2,0
Victoria Garcia,4534420042186749,"Merchant: Freeman, Williams and Mccarthy",grocery,44.04,11,45.32,0,0,0,0
Gerald Hensley,4152035191985054,"Merchant: Fernandez, Little and Young",travel,61.63,6,7.45,0,0,0,0
Connor West,4513358508143223,Merchant: Schneider-Jones,travel,16.01,15,12.99,0,0,2,0
Donald Wright,4663279042338103,Merchant: Washington and Sons,dining,33.86,7,3.72,0,0,3,0
Jessica Callahan,4089170052291843,Merchant: Lynn Group,dining,11.96,13,59.26,0,1,1,0
Amber Kidd,4749659905270253,Merchant: Jordan-Huber,dining,46.64,14,46.52,1,0,2,0
Tracy House,4114358304077511,Merchant: Morris-Wilson,grocery,26.96,12,5.95,1,0,1,0
Carol Tucker,4061092216897459,Merchant: Smith Group,electronics,37.92,20,32.68,0,0,1,0
James Brown,4714732043192746,Merchant: Glover and Sons,grocery,23.23,12,5.34,0,0,0,0
William Baker,4126665602336167,Merchant: Steele Ltd,gas_station,15.56,11,41.14,1,0,1,0
Jordan Henderson,4580624755526727,Merchant: Fleming-Pruitt,grocery,34.72,9,6.74,1,0,1,0
Whitney Peters,4367027510056874,"Merchant: Williams, Jacobs and Long",grocery,30.59,9,13.81,0,0,1,0
Brittney Phillips,4690571121816794,"Merchant: Murphy, Green and Norman",gas_station,24.33,17,12.01,0,0,1,0
Lauren Daniels,4235393305484956,Merchant: Blake and Sons,dining,42.77,13,2.97,0,0,2,0
Amy Silva,4657079432183020,Merchant: Gonzalez-Miller,travel,34.82,18,6.08,0,0,1,0
Sarah Moore,4264685519020417,Merchant: Wilson Ltd,dining,50.9,9,2.97,0,0,2,0
Angela Lopez,4548805109334659,Merchant: Townsend-Martin,grocery,18.6,12,3.86,0,0,0,0
Megan Young,4363305754370092,Merchant: Obrien-Coffey,gas_station,15.68,19,7.7,1,0,3,0
Steve Sanchez,4164377021704701,Merchant: White-Myers,grocery,39.81,8,28.44,1,0,0,0
Lisa Barnes,4259283397178569,"Merchant: Thompson, Buchanan and Lane",electronics,31.25,1,6.54,0,0,2,0
Kelly Donovan,4769750591739308,"Merchant: Ortiz, Hays and Rogers",grocery,8.84,8,6.17,0,0,0,0
Mike Allen,4055916983317937,Merchant: Meza Group,dining,12.48,19,2.36,0,0,1,0
Michael Evans,4470894406545250,"Merchant: Cabrera, Mitchell and Smith",grocery,24.72,8,16.68,0,0,0,0
Paul Jones,4570765094620788,Merchant: Stewart and Sons,dining,45.33,13,19.97,0,0,4,0
